"Time","Offset13"
0,-1
2.0000000000000002e-05,-0.94999999999999996
4.0000000000000003e-05,-0.90000000000000002
6.0000000000000008e-05,-0.84999999999999998
8.0000000000000007e-05,-0.80000000000000004
0.0001,-0.75
0.00012000000000000002,-0.80000000000000004
0.00014000000000000001,-0.84999999999999998
0.00016000000000000001,-0.90000000000000002
0.00018000000000000001,-0.94999999999999996
0.00020000000000000001,-1
0.00022000000000000001,-0.94999999999999996
0.00024000000000000003,-0.90000000000000002
0.00026000000000000003,-0.84999999999999998
0.00028000000000000003,-0.80000000000000004
0.00030000000000000003,-0.75
0.00032000000000000003,-0.80000000000000004
0.00034000000000000002,-0.84999999999999998
0.00036000000000000002,-0.90000000000000002
0.00038000000000000002,-0.94999999999999996
0.00040000000000000002,-1
0.00042000000000000002,-0.94999999999999996
0.00044000000000000002,-0.90000000000000002
0.00046000000000000001,-0.84999999999999998
0.00048000000000000007,-0.80000000000000004
0.00050000000000000001,-0.75
0.00052000000000000006,-0.80000000000000004
0.00054000000000000001,-0.84999999999999998
0.00056000000000000006,-0.90000000000000002
0.00058,-0.94999999999999996
0.00060000000000000006,-1
0.00062,-0.94999999999999996
0.00064000000000000005,-0.90000000000000002
0.0006600000000000001,-0.84999999999999998
0.00068000000000000005,-0.80000000000000004
0.0007000000000000001,-0.75
0.00072000000000000005,-0.80000000000000004
0.0007400000000000001,-0.84999999999999998
0.00076000000000000004,-0.90000000000000002
0.00078000000000000009,-0.94999999999999996
0.00080000000000000004,-1
0.00082000000000000009,-0.94999999999999996
0.00084000000000000003,-0.90000000000000002
0.00086000000000000009,-0.84999999999999998
0.00088000000000000003,-0.80000000000000004
0.00090000000000000008,-0.75
0.00092000000000000003,-0.80000000000000004
0.00094000000000000008,-0.84999999999999998
0.00096000000000000013,-0.90000000000000002
0.00098000000000000019,-0.94999999999999996
0.001,-1
0.0010200000000000001,-0.94999999999999996
0.0010400000000000001,-0.90000000000000002
0.0010600000000000002,-0.84999999999999998
0.00108,-0.80000000000000004
0.0011000000000000001,-0.75
0.0011200000000000001,-0.80000000000000004
0.0011400000000000002,-0.84999999999999998
0.00116,-0.90000000000000002
0.0011800000000000001,-0.94999999999999996
0.0012000000000000001,-1
0.0012200000000000002,-0.94999999999999996
0.00124,-0.90000000000000002
0.0012600000000000001,-0.84999999999999998
0.0012800000000000001,-0.80000000000000004
0.0013000000000000002,-0.75
0.0013200000000000002,-0.80000000000000004
0.00134,-0.84999999999999998
0.0013600000000000001,-0.90000000000000002
0.0013800000000000002,-0.94999999999999996
0.0014000000000000002,-1
0.00142,-0.94999999999999996
0.0014400000000000001,-0.90000000000000002
0.0014600000000000001,-0.84999999999999998
0.0014800000000000002,-0.80000000000000004
0.0015,-0.75
0.0015200000000000001,-0.80000000000000004
0.0015400000000000001,-0.84999999999999998
0.0015600000000000002,-0.90000000000000002
0.00158,-0.94999999999999996
0.0016000000000000001,-1
0.0016200000000000001,-0.94999999999999996
0.0016400000000000002,-0.90000000000000002
0.0016600000000000002,-0.84999999999999998
0.0016800000000000001,-0.80000000000000004
0.0017000000000000001,-0.75
